journey_id,journey_name,step,user_does,system_shows,critical,owner,notes
J-SIGNUP-FLOW,User Signup,1,Clicks "Sign Up",Shows registration form,yes,@alice,
J-SIGNUP-FLOW,User Signup,2,Fills email + password,Validates in real-time,yes,@alice,
J-SIGNUP-FLOW,User Signup,3,Clicks submit,Shows success + redirect to dashboard,yes,@alice,Must receive welcome email
J-LOGIN-FLOW,User Login,1,Clicks "Log In",Shows login form,no,@bob,
J-LOGIN-FLOW,User Login,2,Enters credentials,Authenticates,yes,@bob,
J-LOGIN-FLOW,User Login,3,Clicks submit,Redirects to dashboard,yes,@bob,Session cookie set
J-PASSWORD-RESET,Password Reset,1,Clicks "Forgot Password",Shows email input,yes,@bob,
J-PASSWORD-RESET,Password Reset,2,Enters email,Sends reset link,yes,@bob,
J-PASSWORD-RESET,Password Reset,3,Clicks link in email,Shows new password form,yes,@bob,Link expires after 1 hour
J-PASSWORD-RESET,Password Reset,4,Enters new password,Validates strength + confirms reset,yes,@bob,Must meet password policy
